product,images_url,outlet
Daging Ayam Utuh 0.5 kg,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/2/7/14e42d92-5757-41b3-861a-b019fc2110e6.jpg,bestmeat
Bundling Indomie Ayam bawang x 5 pcs,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/28/b05f8e6f-1e35-4243-b7e0-47ebf2e1f4a4.jpg,bestmeat
Kecap manis Indofood 520gr Free Indomie,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/14/f51dfa79-3b2a-4228-b003-ea5a9da7218f.jpg,bestmeat
Bundling Indomie Soto Mie x 5pcs,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/28/429a7b8c-02ad-4b6a-849c-800811c264eb.jpg,bestmeat
Bundling Indomie Ayam Spesial x 5pcs,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/28/1c97938a-7e4f-4bb1-8883-5c7bc1b0e415.jpg,bestmeat
Bumbu Racik Indofood Sayur sop 20g,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/ddbadd34-49f4-40d2-a79a-874e1ae0a447.png,bestmeat
Kecap Manis Pet Indofood 135 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/33e84663-c7e6-4ffd-905d-3ef05f431bbd.png,bestmeat
Sambal Extra Pedas Indofood 135 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/8c405358-9d70-42ac-b2ef-538a5d4d8282.png,bestmeat
Bumbu Kentang Barbeque Indofood 25 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/bd680b3d-cc42-4b69-802f-ed5f955de665.png,bestmeat
Bumbu Racik Indofood Ayam goreng 26 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/7010792e-2289-4584-831f-4c0ea0d1b1c2.png,bestmeat
Bumbu Racik Indofood Tempe goreng 20 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/d2f9d7fe-7193-476d-b07f-c9437258bdec.png,bestmeat
Sambal Pedas Dahsyat Indofood 135 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/88678199-6849-4e79-83aa-fe2bec50d6ab.png,bestmeat
Bumbu Racik Indofood Sayur lodeh 20 gr,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/83316f2b-e2d8-4a6b-b73a-25d39b629c83.png,bestmeat
Indomie Ayam Bawang Spesial,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/d1de870d-149c-4409-821d-c237d79a84c8.png,bestmeat
Indomie Soto Mie,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/1/6/a63ebb82-06f4-494e-89bc-1af045fd5275.png,bestmeat
